0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月6日（土曜） 1回中山1日,1,2,3,リカンカブール,牡5,56.0,津村 明秀,1:58.9,,3444,34.5,494(-12),田中 克典,5
2024年1月6日（土曜） 1回中山1日,2,4,7,ククナ,牝6,54.0,戸崎 圭太,1:59.0,１／２,981010,34.1,468(+6),栗田 徹,8
2024年1月6日（土曜） 1回中山1日,3,8,15,マイネルクリソーラ,牡5,55.0,M.デムーロ,1:59.1,クビ,3464,34.6,458(+4),中野 栄治,6
2024年1月6日（土曜） 1回中山1日,4,4,8,ボーンディスウェイ,牡5,55.0,木幡 巧也,1:59.2,３／４,3322,34.9,490(0),牧 光二,2
2024年1月6日（土曜） 1回中山1日,5,6,12,ホウオウアマゾン,牡6,58.0,横山 武史,1:59.3,１／２,2222,35.1,512(-4),矢作 芳人,14
2024年1月6日（土曜） 1回中山1日,6,3,6,クリノプレミアム,牝7,55.5,松岡 正海,1:59.3,クビ,6777,34.7,488(+2),伊藤 伸一,10
2024年1月6日（土曜） 1回中山1日,7,5,10,マテンロウレオ,牡5,58.5,横山 典弘,1:59.3,ハナ,12121310,34.0,482(-2),昆 貢,3
2024年1月6日（土曜） 1回中山1日,8,7,13,カテドラル,牡8,58.5,荻野 極,1:59.4,３／４,14141516,33.8,488(-4),池添 学,17
2024年1月6日（土曜） 1回中山1日,9,6,11,ゴールデンハインド,牝4,54.0,菅原 明良,1:59.5,アタマ,1111,35.4,498(+6),武市 康男,4
2024年1月6日（土曜） 1回中山1日,10,3,5,マイネルファンロン,牡9,56.0,丸山 元気,1:59.5,アタマ,91077,34.8,490(+10),手塚 貴久,15
2024年1月6日（土曜） 1回中山1日,11,2,4,エピファニー,牡5,57.0,R.ピーヒュレク,1:59.5,クビ,6444,35.1,506(-6),宮田 敬介,1
2024年1月6日（土曜） 1回中山1日,12,5,9,サクラトゥジュール,牡7,57.0,R.キング,1:59.6,１／２,14141313,34.3,526(+22),堀 宣行,9
2024年1月6日（土曜） 1回中山1日,13,1,2,アラタ,牡7,58.0,横山 和生,1:59.6,アタマ,14161514,33.9,480(+10),和田 勇介,7
2024年1月6日（土曜） 1回中山1日,14,1,1,キタウイング,牝4,53.0,杉原 誠人,1:59.7,１／２,12121110,34.6,434(+2),小島 茂之,12
2024年1月6日（土曜） 1回中山1日,15,7,14,カレンシュトラウス,牡7,56.0,藤懸 貴志,1:59.8,クビ,17171716,33.6,520(-2),平田 修,16
2024年1月6日（土曜） 1回中山1日,16,8,16,サトノエルドール,牡8,56.0,三浦 皇成,1:59.9,１／２,6877,35.2,482(+10),国枝 栄,13
2024年1月6日（土曜） 1回中山1日,17,8,17,エミュー,牝4,54.0,佐々木 大輔,2:02.7,大差,9101114,37.6,422(-4),和田 正一郎,11
2024年1月6日（土曜） 1回京都1日,1,1,2,コレペティトール,牡4,54.0,岩田 康誠,1:33.8,,76,35.3,480(-2),中竹 和也,8
2024年1月6日（土曜） 1回京都1日,2,6,11,セッション,牡4,55.0,坂井 瑠星,1:33.9,１／２,22,36.4,514(-6),斉藤 崇史,3
